country_comtrade,year,flow,partner,comtrade_value_musd,imf_value_musd,country,abs_diff_musd,symmetric_pct_diff,log_ratio,within_tolerance
Fiji,2013,export,aus,150.495852,150.4958496,"Fiji, Republic of",-2.3999999996249244e-06,-1.5947283508927967e-06,-1.594728350988026e-08,True
Fiji,2013,export,china,28.859297,28.85929489,"Fiji, Republic of",-2.1100000004992125e-06,-7.311335676796992e-06,-7.311335682150529e-08,True
Fiji,2013,export,world,1107.989819,1191.905884,"Fiji, Republic of",83.91606500000012,7.297380041237472,0.07300620949538296,False
Fiji,2013,import,aus,383.628282,383.6282959,"Fiji, Republic of",1.3899999999011925e-05,3.623299010888004e-06,3.623299017347272e-08,True
Fiji,2013,import,china,281.699023,281.6990356,"Fiji, Republic of",1.2599999990925426e-05,4.472858860122961e-06,4.4728588498564695e-08,True
Fiji,2013,import,world,2825.730396,2910.786865,"Fiji, Republic of",85.0564690000001,2.9654393120460307,0.029656566538000417,True
Fiji,2014,export,aus,158.640852,158.6408539,"Fiji, Republic of",1.900000000887303e-06,1.1976738434999085e-06,1.197673841812835e-08,True
Fiji,2014,export,china,80.484798,80.48480225,"Fiji, Republic of",4.250000003480636e-06,5.280500165099511e-06,5.280500164265354e-08,True
Fiji,2014,export,world,1373.264439,1487.785522,"Fiji, Republic of",114.52108299999986,8.005528359244186,0.08009807992281485,False
Fiji,2014,import,aus,454.91566,454.9156494,"Fiji, Republic of",-1.059999999597494e-05,-2.330102269829612e-06,-2.3301022716323708e-08,True
Fiji,2014,import,china,443.419915,443.4198914,"Fiji, Republic of",-2.3600000019996514e-05,-5.322268993719927e-06,-5.322268989495421e-08,True
Fiji,2014,import,world,3250.463595,3342.900391,"Fiji, Republic of",92.43679599999996,2.803934264702369,0.028041179919031586,True
Fiji,2015,export,aus,141.164516031,141.1452789,"Fiji, Republic of",-0.01923713100001123,-0.013628383673129744,-0.00013628383694220695,True
Fiji,2015,export,china,51.165048681,51.16504669,"Fiji, Republic of",-1.991000004863963e-06,-3.891328348020294e-06,-3.891328346434208e-08,True
Fiji,2015,export,world,981.3110732719999,1188.985596,"Fiji, Republic of",207.67452272800006,19.137892590293838,0.19196627479859885,False
Fiji,2015,import,aus,365.58961092000004,365.303772,"Fiji, Republic of",-0.28583892000006017,-0.07821631079983295,-0.0007821631478742948,True
Fiji,2015,import,china,331.86943492300003,331.7221069,"Fiji, Republic of",-0.14732802300000003,-0.044403225090924044,-0.00044403225820489325,True
Fiji,2015,import,world,2268.758508116,2325.340088,"Fiji, Republic of",56.58157988399989,2.4632288010464465,0.024633533593097244,True
Fiji,2016,export,aus,138.318955308,138.3189545,"Fiji, Republic of",-8.080000100108009e-07,-5.841571103335705e-07,-5.84157113277868e-09,True
Fiji,2016,export,china,47.098941808000006,47.09894562,"Fiji, Republic of",3.811999995662063e-06,8.093599760558875e-06,8.093599751497024e-08,True
Fiji,2016,export,world,922.063602977,1127.473633,"Fiji, Republic of",205.4100300230001,20.044527751659277,0.20112048085413686,False
Fiji,2016,import,aus,401.20000638199997,400.9156189,"Fiji, Republic of",-0.2843874819999428,-0.07090934848699915,-0.0007090935145817931,True
Fiji,2016,import,china,351.023678722,350.9062195,"Fiji, Republic of",-0.11745922199997949,-0.033467507880061996,-0.00033467508192448607,True
Fiji,2016,import,world,2302.693449244,2353.871582,"Fiji, Republic of",51.178132756000196,2.198106647823534,0.021981951586732742,True
Fiji,2017,export,aus,148.95113968,151.0973206,"Fiji, Republic of",2.1461809199999777,1.4305561961539142,0.01430580593739727,True
Fiji,2017,export,china,49.803912787,49.67968369,"Fiji, Republic of",-0.12422909700000417,-0.24974790095918012,-0.0024974803077412754,True
Fiji,2017,export,world,1036.350456154,1268.732422,"Fiji, Republic of",232.38196584599996,20.162569254958886,0.20231294435563638,False
Fiji,2017,import,aus,399.968142902,399.357605,"Fiji, Republic of",-0.6105379020000328,-0.15276322665759712,-0.0015276325636573117,True
Fiji,2017,import,china,383.800702913,381.3460693,"Fiji, Republic of",-2.4546336129999986,-0.6416111789638923,-0.0064161338005085935,True
Fiji,2017,import,world,2412.377991592,2474.544678,"Fiji, Republic of",62.16668640800026,2.5442058575971056,0.025443431092770943,True
Fiji,2018,export,aus,134.70086549,134.6040039,"Fiji, Republic of",-0.09686159000000316,-0.07193452552076274,-0.0007193452862268731,True
Fiji,2018,export,china,56.604440729,56.49173737,"Fiji, Republic of",-0.11270335899999395,-0.19930533620921798,-0.00199305402183672,True
Fiji,2018,export,world,1007.069794518,1005.330444,"Fiji, Republic of",-1.7393505179999238,-0.17286327885558597,-0.0017286332190102791,True
Fiji,2018,import,aus,430.557444605,429.1875305,"Fiji, Republic of",-1.3699141050000208,-0.31867917688794034,-0.0031867944658764587,True
Fiji,2018,import,china,449.84254673699996,445.0492554,"Fiji, Republic of",-4.793291336999971,-1.0712560614710291,-0.010712663063328885,True
Fiji,2018,import,world,2738.1098801810003,2725.554932,"Fiji, Republic of",-12.554948181000327,-0.4595797367733695,-0.004595805456881075,True
Fiji,2019,export,aus,131.984577267,132.0941772,"Fiji, Republic of",0.10959993299999837,0.08300549070765502,0.0008300549547348255,True
Fiji,2019,export,china,33.414882136,37.21763992,"Fiji, Republic of",3.8027577840000006,10.767724762780063,0.10778146660509444,False
Fiji,2019,export,world,965.497389354,1026.415283,"Fiji, Republic of",60.91789364600004,6.116522525458766,0.06118430516377047,False
Fiji,2019,import,aus,396.036077237,395.2435913,"Fiji, Republic of",-0.7924859369999808,-0.20030489054905484,-0.002003049575211213,True
Fiji,2019,import,china,352.79082098500004,348.5834045,"Fiji, Republic of",-4.207416485000067,-1.199763644605172,-0.011997780364087992,True
