country,year,partner,cwti
Fiji,2013,aus,0.1354348938861787
Fiji,2013,china,0.035416925100828944
Fiji,2014,aus,0.11593454182806098
Fiji,2014,china,0.074972141916902
Fiji,2015,aus,0.14785752474944433
Fiji,2015,china,0.06003751998033404
Fiji,2016,aus,0.15601334831224595
Fiji,2016,china,0.055754263818676396
Fiji,2017,aus,0.13827761779000897
Fiji,2017,china,0.06581362394393266
Fiji,2018,aus,0.13708857618302742
Fiji,2018,china,0.0597126261210463
Fiji,2019,aus,0.13320449557470573
Fiji,2019,china,0.043603160990468744
Fiji,2020,aus,0.1609980250044733
Fiji,2020,china,0.06573524774759136
Fiji,2021,aus,0.16686407868696523
Fiji,2021,china,0.06970692207842955
Fiji,2022,aus,0.11771202587488785
Fiji,2022,china,0.05717936607473065
Fiji,2023,aus,0.10995410322035973
Fiji,2023,china,0.0519278152637429
Fiji,2024,aus,0.12496765317488498
Fiji,2024,china,0.056872310489609425
Kiribati,2014,aus,0.13638236180057106
Kiribati,2014,china,0.01199285366513168
Kiribati,2015,aus,0.0922835484942861
Kiribati,2015,china,0.06221177163169908
Kiribati,2016,aus,0.13560143469416644
Kiribati,2016,china,0.011609760214967735
Kiribati,2017,aus,0.12201684780123057
Kiribati,2017,china,0.021282190282170495
Kiribati,2018,aus,0.06893607896346517
Kiribati,2018,china,0.018736228106152508
Kiribati,2020,aus,0.15479253860213416
Kiribati,2020,china,0.037537366334457783
Kiribati,2021,aus,0.046523256801417154
Kiribati,2021,china,0.04607701021013477
Palau,2014,aus,0.010220623675079251
Palau,2014,china,0.01161941235729219
Palau,2015,aus,0.002588926768601607
Palau,2015,china,0.007263959619770834
Palau,2016,aus,0.0007695360941610574
Palau,2016,china,0.007217649513776403
Palau,2017,aus,0.039495968722910224
Palau,2017,china,0.0
Palau,2018,aus,0.0006654408285377748
Palau,2018,china,0.008979986673851153
Papua New Guinea,2019,aus,0.4249903848793493
Papua New Guinea,2019,china,0.12243325434137287
Papua New Guinea,2020,aus,0.3600782056600703
Papua New Guinea,2020,china,0.1156323593163545
Papua New Guinea,2021,aus,0.306086774028066
Papua New Guinea,2021,china,0.11838687794794635
Samoa,2013,aus,0.4601276274325314
Samoa,2013,china,0.020281989263050172
Samoa,2014,aus,0.4854086789156654
Samoa,2014,china,0.03756504456199033
Samoa,2015,aus,0.3601669996864784
Samoa,2015,china,0.048654636843499
Samoa,2016,aus,0.31668133040275065
Samoa,2016,china,0.04043435050134133
Samoa,2017,aus,0.1356015119299402
Samoa,2017,china,0.020122018067443372
Samoa,2018,aus,0.05913870958106154
Samoa,2018,china,0.03463564960532428
Samoa,2019,aus,0.04204487132534105
Samoa,2019,china,0.031225357326537327
Samoa,2021,aus,0.052181971772431744
Samoa,2021,china,0.042668432475551334
Samoa,2022,aus,0.02683518061341546
Samoa,2022,china,0.04403732855921432
Samoa,2023,aus,0.050589332366297486
Samoa,2023,china,0.0408590366334545
Solomon Islands,2015,aus,0.16336764307959298
Solomon Islands,2015,china,0.426482770843995
Solomon Islands,2016,aus,0.075798326956119
Solomon Islands,2016,china,0.5725784953325784
Solomon Islands,2017,aus,0.08084447640392128
Solomon Islands,2017,china,0.5929922412615205
Solomon Islands,2018,aus,0.07153038362278404
Solomon Islands,2018,china,0.5990362120203485
Tonga,2013,aus,0.05319446986188118
Tonga,2013,china,0.007924744361579385
Tonga,2014,aus,0.021099580482470938
Tonga,2014,china,0.020622535970536846
