country,year,flow,partner,hs2,value_usd
Fiji,2013,export,aus,01,111671.0
Fiji,2013,export,aus,02,122900.0
Fiji,2013,export,aus,03,578736.0
Fiji,2013,export,aus,04,11395993.0
Fiji,2013,export,aus,05,6918030.0
Fiji,2013,export,aus,06,692341.0
Fiji,2013,export,aus,07,426770.0
Fiji,2013,export,aus,08,64895.0
Fiji,2013,export,aus,09,345116.0
Fiji,2013,export,aus,11,807855.0
Fiji,2013,export,aus,12,429195.0
Fiji,2013,export,aus,21,108584.0
Fiji,2013,export,aus,22,54635.0
Fiji,2013,export,aus,24,746328.0
Fiji,2013,export,aus,25,82292.0
Fiji,2013,export,aus,26,1128.0
Fiji,2013,export,aus,27,2833.0
Fiji,2013,export,aus,28,629358.0
Fiji,2013,export,aus,29,108393.0
Fiji,2013,export,aus,33,196765.0
Fiji,2013,export,aus,41,4334.0
Fiji,2013,export,aus,42,818906.0
Fiji,2013,export,aus,51,2970.0
Fiji,2013,export,aus,52,1896.0
Fiji,2013,export,aus,53,211621.0
Fiji,2013,export,aus,54,2202062.0
Fiji,2013,export,aus,55,497322.0
Fiji,2013,export,aus,57,51141.0
Fiji,2013,export,aus,58,2719.0
Fiji,2013,export,aus,59,18807.0
Fiji,2013,export,aus,61,2458.0
Fiji,2013,export,aus,62,12718.0
Fiji,2013,export,aus,63,434936.0
Fiji,2013,export,aus,64,84956.0
Fiji,2013,export,aus,65,3324696.0
Fiji,2013,export,aus,66,24366.0
Fiji,2013,export,aus,67,18739.0
Fiji,2013,export,aus,68,232747.0
Fiji,2013,export,aus,69,15724699.0
Fiji,2013,export,aus,71,543344.0
Fiji,2013,export,aus,72,76080.0
Fiji,2013,export,aus,73,11592.0
Fiji,2013,export,aus,74,911515.0
Fiji,2013,export,aus,75,146410.0
Fiji,2013,export,aus,76,3116862.0
Fiji,2013,export,aus,77,918062.0
Fiji,2013,export,aus,78,457246.0
Fiji,2013,export,aus,79,1832328.0
Fiji,2013,export,aus,81,1250380.0
Fiji,2013,export,aus,82,266353.0
Fiji,2013,export,aus,83,172243.0
Fiji,2013,export,aus,84,46104376.0
Fiji,2013,export,aus,85,322622.0
Fiji,2013,export,aus,87,301615.0
Fiji,2013,export,aus,88,620322.0
Fiji,2013,export,aus,89,1370604.0
Fiji,2013,export,aus,93,2743137.0
Fiji,2013,export,aus,97,41834850.0
Fiji,2013,export,china,03,11962696.0
Fiji,2013,export,china,05,148718.0
Fiji,2013,export,china,06,1439.0
Fiji,2013,export,china,09,49.0
Fiji,2013,export,china,11,984787.0
Fiji,2013,export,china,12,8010.0
Fiji,2013,export,china,24,5164691.0
Fiji,2013,export,china,28,9398081.0
Fiji,2013,export,china,33,25759.0
Fiji,2013,export,china,34,49474.0
Fiji,2013,export,china,42,94564.0
Fiji,2013,export,china,51,8326.0
Fiji,2013,export,china,52,4013.0
Fiji,2013,export,china,53,2629.0
Fiji,2013,export,china,55,5597.0
Fiji,2013,export,china,57,7960.0
Fiji,2013,export,china,58,9853.0
Fiji,2013,export,china,59,1716.0
Fiji,2013,export,china,62,226.0
Fiji,2013,export,china,63,27394.0
Fiji,2013,export,china,64,13259.0
Fiji,2013,export,china,65,14839.0
Fiji,2013,export,china,66,1875.0
Fiji,2013,export,china,67,1629.0
Fiji,2013,export,china,68,7884.0
Fiji,2013,export,china,69,3466.0
Fiji,2013,export,china,71,43573.0
Fiji,2013,export,china,72,9791.0
Fiji,2013,export,china,73,2673.0
Fiji,2013,export,china,74,18660.0
Fiji,2013,export,china,75,4742.0
Fiji,2013,export,china,76,45174.0
Fiji,2013,export,china,77,29110.0
Fiji,2013,export,china,78,17980.0
Fiji,2013,export,china,81,29805.0
Fiji,2013,export,china,82,16007.0
Fiji,2013,export,china,83,825.0
Fiji,2013,export,china,84,12689.0
Fiji,2013,export,china,85,22095.0
Fiji,2013,export,china,87,230.0
Fiji,2013,export,china,88,332.0
Fiji,2013,export,china,89,126805.0
Fiji,2013,export,china,93,529872.0
Fiji,2013,export,world,00,26135.0
Fiji,2013,export,world,01,7035034.0
Fiji,2013,export,world,02,5052073.0
Fiji,2013,export,world,03,134238160.0
Fiji,2013,export,world,04,68122996.0
Fiji,2013,export,world,05,22785480.0
Fiji,2013,export,world,06,87901016.0
Fiji,2013,export,world,07,3109105.0
Fiji,2013,export,world,08,2501385.0
Fiji,2013,export,world,09,3293524.0
Fiji,2013,export,world,11,94420666.0
Fiji,2013,export,world,12,608516.0
Fiji,2013,export,world,21,109220.0
Fiji,2013,export,world,22,217311.0
Fiji,2013,export,world,23,2616.0
Fiji,2013,export,world,24,30828636.0
Fiji,2013,export,world,25,84368.0
Fiji,2013,export,world,26,32235.0
Fiji,2013,export,world,27,6060776.0
Fiji,2013,export,world,28,12257274.0
Fiji,2013,export,world,29,7450878.0
Fiji,2013,export,world,33,317729372.0
Fiji,2013,export,world,34,482213.0
Fiji,2013,export,world,41,95034.0
Fiji,2013,export,world,42,3390561.0
Fiji,2013,export,world,43,60883.0
Fiji,2013,export,world,51,352911.0
Fiji,2013,export,world,52,539701.0
Fiji,2013,export,world,53,7117406.0
Fiji,2013,export,world,54,8976220.0
Fiji,2013,export,world,55,11185336.0
Fiji,2013,export,world,56,38962.0
Fiji,2013,export,world,57,714047.0
Fiji,2013,export,world,58,3450596.0
Fiji,2013,export,world,59,832577.0
Fiji,2013,export,world,61,6979.0
Fiji,2013,export,world,62,590019.0
Fiji,2013,export,world,63,1945343.0
Fiji,2013,export,world,64,9177957.0
Fiji,2013,export,world,65,6592701.0
Fiji,2013,export,world,66,6126533.0
Fiji,2013,export,world,67,3215380.0
Fiji,2013,export,world,68,6100971.0
Fiji,2013,export,world,69,22680073.0
Fiji,2013,export,world,71,5199840.0
Fiji,2013,export,world,72,1742517.0
Fiji,2013,export,world,73,254706.0
Fiji,2013,export,world,74,3183663.0
Fiji,2013,export,world,75,1622649.0
Fiji,2013,export,world,76,7737155.0
Fiji,2013,export,world,77,13526315.0
