country,year,partner,sti
Fiji,2013,aus,0.13578091597955702
Fiji,2013,china,0.07894773980513
Fiji,2014,aus,0.13269736184487704
Fiji,2014,china,0.11330785659267432
Fiji,2015,aus,0.15592100853871
Fiji,2015,china,0.11785424096687135
Fiji,2016,aus,0.16730530485030334
Fiji,2016,china,0.12345817501377333
Fiji,2017,aus,0.15916570147491882
Fiji,2017,china,0.12572883666250753
Fiji,2018,aus,0.1509295572422516
Fiji,2018,china,0.13522635266002372
Fiji,2019,aus,0.1406057831450217
Fiji,2019,china,0.10284210452602775
Fiji,2020,aus,0.16890604028883888
Fiji,2020,china,0.1276846610570337
Fiji,2021,aus,0.16770240390449886
Fiji,2021,china,0.12552123175325222
Fiji,2022,aus,0.14228586244761324
Fiji,2022,china,0.12328458895824584
Fiji,2023,aus,0.13978339187220734
Fiji,2023,china,0.11911960072685723
Fiji,2024,aus,0.1392395070302362
Fiji,2024,china,0.12462981829229092
Kiribati,2014,aus,0.2196869649619961
Kiribati,2014,china,0.06443591369535702
Kiribati,2015,aus,0.1869560001715046
Kiribati,2015,china,0.11295961106204562
Kiribati,2016,aus,0.21482134430042188
Kiribati,2016,china,0.06275583385736742
Kiribati,2017,aus,0.17694516326165508
Kiribati,2017,china,0.08197668282465603
Kiribati,2018,aus,0.15779247226412985
Kiribati,2018,china,0.0939538108103156
Kiribati,2020,aus,0.1529877711585345
Kiribati,2020,china,0.13160127940201263
Kiribati,2021,aus,0.14296461524494913
Kiribati,2021,china,0.14935645069974812
Palau,2014,aus,0.008851713958607725
Palau,2014,china,0.044374812867443894
Palau,2015,aus,0.020916044851543723
Palau,2015,china,0.05278940531880192
Palau,2016,aus,0.010731808164775617
Palau,2016,china,0.04999667412579712
Palau,2017,aus,0.08324143140145432
Palau,2017,china,0.0
Palau,2018,aus,0.011503822549217502
Palau,2018,china,0.054414246336425776
Papua New Guinea,2019,aus,0.3108548977282011
Papua New Guinea,2019,china,0.19137455488085786
Papua New Guinea,2020,aus,0.2584818099247249
Papua New Guinea,2020,china,0.17916490948709593
Papua New Guinea,2021,aus,0.2320879618923749
Papua New Guinea,2021,china,0.1793615232230122
Samoa,2013,aus,0.12729957281287213
Samoa,2013,china,0.0699804234183113
Samoa,2014,aus,0.13702445804264585
Samoa,2014,china,0.11165213098486272
Samoa,2015,aus,0.14252983326918192
Samoa,2015,china,0.1299204923132881
Samoa,2016,aus,0.13859637986970993
Samoa,2016,china,0.12326472456668934
Samoa,2017,aus,0.1171063462395805
Samoa,2017,china,0.08180091662667964
Samoa,2018,aus,0.09738085660246763
Samoa,2018,china,0.1068680393974129
Samoa,2019,aus,0.0896490286162557
Samoa,2019,china,0.11106415659645803
Samoa,2021,aus,0.10775647553680226
Samoa,2021,china,0.12739624946933473
Samoa,2022,aus,0.08613231747674785
Samoa,2022,china,0.11906045216088965
Samoa,2023,aus,0.08911065795839838
Samoa,2023,china,0.11874979731519505
Solomon Islands,2015,aus,0.16180450469292879
Solomon Islands,2015,china,0.3247945098198418
Solomon Islands,2016,aus,0.10946192915584013
Solomon Islands,2016,china,0.3823243953287928
Solomon Islands,2017,aus,0.11000895422059931
Solomon Islands,2017,china,0.3696885095520119
Solomon Islands,2018,aus,0.09716720475538432
Solomon Islands,2018,china,0.39827012565116476
Tonga,2013,aus,0.060665502644710635
Tonga,2013,china,0.05015102703731464
Tonga,2014,aus,0.056606137156779146
Tonga,2014,china,0.06919931567026089
