country,year,partner,sti
Fiji,2000,aus,0.30549994741957853
Fiji,2000,china,0.011244871727341314
Fiji,2000,us,0.09617757048243743
Fiji,2001,aus,0.263937774047776
Fiji,2001,china,0.014893243635182202
Fiji,2001,us,0.10751420942522408
Fiji,2002,aus,0.3197557219426553
Fiji,2002,china,0.021111600153775043
Fiji,2002,us,0.0869284314088995
Fiji,2003,aus,0.28407099821167475
Fiji,2003,china,0.01992316977116259
Fiji,2003,us,0.11648611992862744
Fiji,2004,aus,0.27832641842793265
Fiji,2004,china,0.02309528322504505
Fiji,2004,us,0.09198573741242427
Fiji,2005,aus,0.20790502174342373
Fiji,2005,china,0.019636151376176584
Fiji,2005,us,0.0651330111681351
Fiji,2006,aus,0.20227818461719677
Fiji,2006,china,0.02587180039642045
Fiji,2006,us,0.057637018691082356
Fiji,2007,aus,0.1827270149316354
Fiji,2007,china,0.02254362934962256
Fiji,2007,us,0.060396785890100724
Fiji,2008,aus,0.16214221377506668
Fiji,2008,china,0.02862038872229766
Fiji,2008,us,0.07686743200862502
Fiji,2009,aus,0.1825430757765261
Fiji,2009,china,0.03788062354467685
Fiji,2009,us,0.058298049833039364
Fiji,2010,aus,0.1947346620223478
Fiji,2010,china,0.041835208421964504
Fiji,2010,us,0.05768979189615165
Fiji,2011,aus,0.18698604209808578
Fiji,2011,china,0.056562499147737706
Fiji,2011,us,0.06452187221360953
Fiji,2012,aus,0.16800873624930848
Fiji,2012,china,0.06081963485205784
Fiji,2012,us,0.06192509574405075
Fiji,2013,aus,0.13018867806520212
Fiji,2013,china,0.07569621940753332
Fiji,2013,us,0.06717712445495148
Fiji,2014,aus,0.12701229480659054
Fiji,2014,china,0.108453479088778
Fiji,2014,us,0.06005970165007497
Fiji,2015,aus,0.14410987951565163
Fiji,2015,china,0.1089503899235083
Fiji,2015,us,0.06502791344025019
Fiji,2016,aus,0.15489258895573216
Fiji,2016,china,0.11432510726173416
Fiji,2016,us,0.06684128124593355
Fiji,2017,aus,0.1470516103656873
Fiji,2017,china,0.11514663260969912
Fiji,2017,us,0.06756704100799804
Fiji,2018,aus,0.15111467589616992
Fiji,2018,china,0.13442948314528974
Fiji,2018,us,0.06526720261533973
Fiji,2019,aus,0.1385746917835146
Fiji,2019,china,0.10138143712393607
Fiji,2019,us,0.08009163515342191
Fiji,2020,aus,0.1692754802475029
Fiji,2020,china,0.12640326120479853
Fiji,2020,us,0.09285419819708203
Fiji,2021,aus,0.16441759570741582
Fiji,2021,china,0.12126891123794131
Fiji,2021,us,0.14541504086045087
Fiji,2022,aus,0.14284464311578543
Fiji,2022,china,0.12316713309721378
Fiji,2022,us,0.07571298145024805
Fiji,2023,aus,0.14001789587796237
Fiji,2023,china,0.11975906054837597
Fiji,2023,us,0.08904293569311679
Fiji,2024,aus,0.12360255397071092
Fiji,2024,china,0.11031406215735377
Fiji,2024,us,0.08405776290553398
Kiribati,2000,aus,0.4294971912899535
Kiribati,2000,china,0.015870451298137033
Kiribati,2000,us,0.013103521054170054
Kiribati,2001,aus,0.5123624933402011
Kiribati,2001,china,0.009001219422146807
Kiribati,2001,us,0.020518757348719975
Kiribati,2002,aus,0.36663730622670065
Kiribati,2002,china,0.0068235437495166775
Kiribati,2002,us,0.007163418566673205
Kiribati,2003,aus,0.4848267800773088
Kiribati,2003,china,0.02861986361211214
Kiribati,2003,us,0.003681615174389554
Kiribati,2004,aus,0.37357714125916225
Kiribati,2004,china,0.03182036114789019
Kiribati,2004,us,0.0030830882230333144
Kiribati,2005,aus,0.3534392913021131
Kiribati,2005,china,0.02136363155818346
Kiribati,2005,us,0.028230426899927774
Kiribati,2006,aus,0.38569812723935015
Kiribati,2006,china,0.023464268902825734
Kiribati,2006,us,0.0362014895344509
Kiribati,2007,aus,0.33664662027938613
Kiribati,2007,china,0.03639110748688573
Kiribati,2007,us,0.03724175584231614
Kiribati,2008,aus,0.32855977664202457
Kiribati,2008,china,0.0652137152385608
Kiribati,2008,us,0.020167521455187992
Kiribati,2009,aus,0.26753539408800037
Kiribati,2009,china,0.041890847370457916
Kiribati,2009,us,0.06773876697096448
Kiribati,2010,aus,0.25508686501985595
Kiribati,2010,china,0.046992168702693383
Kiribati,2010,us,0.0763216729965784
Kiribati,2011,aus,0.31902902771789676
Kiribati,2011,china,0.06020142526285853
Kiribati,2011,us,0.06049138312660864
Kiribati,2012,aus,0.22390998157172234
Kiribati,2012,china,0.04472162323808408
Kiribati,2012,us,0.03615798538108244
Kiribati,2013,aus,0.24435064001481183
Kiribati,2013,china,0.039219261859487285
Kiribati,2013,us,0.046938922117610256
Kiribati,2014,aus,0.21000053704389746
Kiribati,2014,china,0.06157251286363175
Kiribati,2014,us,0.03533344665345163
Kiribati,2015,aus,0.18079482422413864
Kiribati,2015,china,0.10924200338402283
Kiribati,2015,us,0.03207031447759031
Kiribati,2016,aus,0.20666207466296022
Kiribati,2016,china,0.06035211448707971
Kiribati,2016,us,0.03397507388250666
Kiribati,2017,aus,0.16416569749879673
Kiribati,2017,china,0.07605609436217264
Kiribati,2017,us,0.03369694343158506
Kiribati,2018,aus,0.12235935140533735
Kiribati,2018,china,0.04449071569000009
Kiribati,2018,us,0.04282803760175981
Kiribati,2019,aus,0.10691376729934775
Kiribati,2019,china,0.05621918391232348
Kiribati,2019,us,0.03033932132773338
Kiribati,2020,aus,0.1498925841420499
Kiribati,2020,china,0.12870363801392598
Kiribati,2020,us,0.01850104721889403
Kiribati,2021,aus,0.13554290718105574
Kiribati,2021,china,0.1474251764111371
Kiribati,2021,us,0.020525709737861306
Kiribati,2022,aus,0.13763122863854602
Kiribati,2022,china,0.1507151422841363
Kiribati,2022,us,0.045707334288205066
Kiribati,2023,aus,0.1633183511224346
Kiribati,2023,china,0.1259936606030705
Kiribati,2023,us,0.05855483910527799
Kiribati,2024,aus,0.10756220786679362
Kiribati,2024,china,0.17398645730446177
Kiribati,2024,us,0.032367483349897794
"Marshall Islands, Republic of the",2016,aus,0.0015126313119559012
"Marshall Islands, Republic of the",2016,china,0.22259568026733512
"Marshall Islands, Republic of the",2016,us,0.01008751041818974
"Marshall Islands, Republic of the",2017,aus,0.000469967710964498
"Marshall Islands, Republic of the",2017,china,0.21006310651157017
"Marshall Islands, Republic of the",2017,us,0.03987960574506231
"Marshall Islands, Republic of the",2018,aus,0.0003388668228557988
"Marshall Islands, Republic of the",2018,china,0.16173628227273212
"Marshall Islands, Republic of the",2018,us,0.022706182628932686
"Marshall Islands, Republic of the",2019,aus,0.0002950892840819696
"Marshall Islands, Republic of the",2019,china,0.19373996439816715
"Marshall Islands, Republic of the",2019,us,0.00915144206580174
"Marshall Islands, Republic of the",2020,aus,0.0003076778664875023
"Marshall Islands, Republic of the",2020,china,0.2502675476510871
"Marshall Islands, Republic of the",2020,us,0.010725695336777374
"Marshall Islands, Republic of the",2021,aus,0.00015004538669191443
"Marshall Islands, Republic of the",2021,china,0.20537404785594787
"Marshall Islands, Republic of the",2021,us,0.015938056307302998
"Marshall Islands, Republic of the",2022,aus,0.00018706528019748106
"Marshall Islands, Republic of the",2022,china,0.1932025384029402
"Marshall Islands, Republic of the",2022,us,0.01571340132822101
"Marshall Islands, Republic of the",2023,aus,0.00026291596406656157
"Marshall Islands, Republic of the",2023,china,0.18119864995401885
"Marshall Islands, Republic of the",2023,us,0.0037805617786074623
"Marshall Islands, Republic of the",2024,aus,0.00020787326136087396
"Marshall Islands, Republic of the",2024,china,0.2823656985264669
"Marshall Islands, Republic of the",2024,us,0.007759637632496344
"Micronesia, Federated States of",2000,aus,0.20024016825201776
"Micronesia, Federated States of",2000,us,0.4583343621313294
"Micronesia, Federated States of",2001,aus,0.19640027593040807
"Micronesia, Federated States of",2001,us,0.4495451435981981
"Micronesia, Federated States of",2002,aus,0.08259357653217457
"Micronesia, Federated States of",2002,us,0.1890503516176401
"Micronesia, Federated States of",2003,aus,0.04283667137271754
"Micronesia, Federated States of",2003,china,0.01277215528452922
"Micronesia, Federated States of",2003,us,0.28796920138034726
"Micronesia, Federated States of",2004,aus,0.03845384535700344
"Micronesia, Federated States of",2004,china,0.012243149987193329
"Micronesia, Federated States of",2004,us,0.2812995203418912
"Micronesia, Federated States of",2005,aus,0.02989471134445675
"Micronesia, Federated States of",2005,china,0.02073958576810826
"Micronesia, Federated States of",2005,us,0.27905091124608483
"Micronesia, Federated States of",2006,aus,0.029078284699976642
"Micronesia, Federated States of",2006,china,0.022142778879604353
"Micronesia, Federated States of",2006,us,0.27960157851519946
"Micronesia, Federated States of",2007,aus,0.02676006860676267
"Micronesia, Federated States of",2007,china,0.02534019578341926
"Micronesia, Federated States of",2007,us,0.2915266783641356
"Micronesia, Federated States of",2008,aus,0.02247790260655616
"Micronesia, Federated States of",2008,china,0.02718167390897273
"Micronesia, Federated States of",2008,us,0.2879667754946957
"Micronesia, Federated States of",2009,aus,0.015478279338665753
"Micronesia, Federated States of",2009,china,0.02362112631493629
"Micronesia, Federated States of",2009,us,0.30836442239293266
"Micronesia, Federated States of",2010,aus,0.019927028569174308
"Micronesia, Federated States of",2010,china,0.02052869038749615
"Micronesia, Federated States of",2010,us,0.29426469622650087
"Micronesia, Federated States of",2011,aus,0.02634458135802333
"Micronesia, Federated States of",2011,china,0.013638063024551748
"Micronesia, Federated States of",2011,us,0.2704771203004501
"Micronesia, Federated States of",2012,aus,0.02760159685686244
"Micronesia, Federated States of",2012,china,0.010367878355346154
"Micronesia, Federated States of",2012,us,0.2346877285014044
"Micronesia, Federated States of",2013,aus,0.04479968269433018
"Micronesia, Federated States of",2013,china,0.01890643308744574
"Micronesia, Federated States of",2013,us,0.26118654026740196
"Micronesia, Federated States of",2014,aus,0.03432677896143366
"Micronesia, Federated States of",2014,china,0.014486641657040625
"Micronesia, Federated States of",2014,us,0.20012848520901225
"Micronesia, Federated States of",2015,aus,0.034676175181670994
"Micronesia, Federated States of",2015,china,0.014634094403614647
"Micronesia, Federated States of",2015,us,0.202165499412192
"Micronesia, Federated States of",2016,aus,0.03728418555235261
"Micronesia, Federated States of",2016,china,0.0264619816396208
"Micronesia, Federated States of",2016,us,0.16819419475696526
"Micronesia, Federated States of",2017,aus,0.014811076870417288
"Micronesia, Federated States of",2017,china,0.0418520114576457
"Micronesia, Federated States of",2017,us,0.11361279185772141
"Micronesia, Federated States of",2018,aus,0.017152021489869242
"Micronesia, Federated States of",2018,china,0.046430354285791876
"Micronesia, Federated States of",2018,us,0.12000185953842615
"Micronesia, Federated States of",2019,aus,0.016322216352234346
"Micronesia, Federated States of",2019,china,0.037115467588610174
"Micronesia, Federated States of",2019,us,0.12169026233439242
"Micronesia, Federated States of",2020,aus,0.018156387513514363
"Micronesia, Federated States of",2020,china,0.03486823160045567
"Micronesia, Federated States of",2020,us,0.14046137297325734
"Micronesia, Federated States of",2021,aus,0.016689289074921038
"Micronesia, Federated States of",2021,china,0.04201409481140366
"Micronesia, Federated States of",2021,us,0.12301735272184537
"Micronesia, Federated States of",2022,aus,0.015635379594231908
