country,partner,n_years,mean_sti,latest_year,mean_cwti
Fiji,aus,12,0.15002690321825282,2024,0.1370255736904369
Fiji,china,12,0.11813376725122399,2024,0.05806099362719108
Kiribati,aus,7,0.17887919019474158,2021,0.10807658102246723
Kiribati,china,7,0.09957708319307178,2021,0.029921025777816294
Palau,aus,5,0.02704896418511978,2018,0.010748099217857982
Palau,china,5,0.04031502772969374,2018,0.007016201632938116
Papua New Guinea,aus,3,0.2671415565151003,2021,0.36371845485582854
Papua New Guinea,china,3,0.18330032919698866,2021,0.11881749720189123
Samoa,aus,10,0.11325859264246621,2023,0.19887762140259133
Samoa,china,10,0.10997573828491214,2023,0.0360483843837406
Solomon Islands,aus,4,0.11961064820618814,2018,0.09788520751560432
Solomon Islands,china,4,0.3687693850879528,2018,0.5477724298646106
Tonga,aus,2,0.05863581990074489,2014,0.03714702517217606
Tonga,china,2,0.05967517135378776,2014,0.014273640166058116
