country,partner,n_years,mean_sti,latest_year
Fiji,aus,25,0.18688073598284535,2024
Fiji,china,25,0.0697333312451849,2024
Fiji,us,25,0.07842703779107235,2024
Kiribati,aus,25,0.26264000668615384,2024
Kiribati,china,25,0.06425400752663207,2024
Kiribati,us,25,0.033637595030659044,2024
"Marshall Islands, Republic of the",aus,9,0.0004146814320736112,2024
"Marshall Islands, Republic of the",china,9,0.2111715017600295,2024
"Marshall Islands, Republic of the",us,9,0.015082454804599073,2024
"Micronesia, Federated States of",aus,25,0.04158905776004141,2024
"Micronesia, Federated States of",china,22,0.030209882623832354,2024
"Micronesia, Federated States of",us,25,0.22826782509201393,2024
"Nauru, Republic of",aus,25,0.30853743291953,2024
"Nauru, Republic of",china,24,0.014189677831392833,2024
"Nauru, Republic of",us,25,0.036248409639852056,2024
Palau,aus,25,0.009210661472264957,2024
Palau,china,25,0.03731428059351753,2024
Palau,us,25,0.2809751196299224,2024
Papua New Guinea,aus,25,0.34368270102448817,2024
Papua New Guinea,china,25,0.11690024889668821,2024
Papua New Guinea,us,25,0.021678738666250707,2024
Samoa,aus,25,0.2073788855806377,2024
Samoa,china,25,0.06042620856592868,2024
Samoa,us,25,0.10264876659428047,2024
Solomon Islands,aus,25,0.18214196270338584,2024
Solomon Islands,china,25,0.27718008099379743,2024
Solomon Islands,us,25,0.018406568073481414,2024
Tonga,aus,25,0.1011907959399123,2024
Tonga,china,25,0.06453551436611092,2024
Tonga,us,25,0.10879657396499058,2024
Tuvalu,aus,25,0.16926281509139862,2024
Tuvalu,china,25,0.01944066910781116,2024
Tuvalu,us,23,0.02484148089485029,2024
Vanuatu,aus,25,0.2626107003434649,2024
Vanuatu,china,25,0.08704393561096038,2024
Vanuatu,us,25,0.0233135075030977,2024
